"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"NT1","1","NT_Pot1-2+","","Excluded from BOM","","NetTie:NetTie-3_THT_Pad1.0mm","~"
"NT2","1","NT_Pot3-4+","","Excluded from BOM","","NetTie:NetTie-3_THT_Pad1.0mm","~"
"NT3","1","NT_Pot3-4-","","Excluded from BOM","","NetTie:NetTie-3_THT_Pad1.0mm","~"
"NT4","1","NT_Pot1-2-","","Excluded from BOM","","NetTie:NetTie-3_THT_Pad1.0mm","~"
"NT5","1","NT_SW1-2-","","Excluded from BOM","","NetTie:NetTie-3_THT_Pad1.0mm","~"
"NT6","1","NT_SW3-4-","","Excluded from BOM","","NetTie:NetTie-3_THT_Pad1.0mm","~"
"NT7","1","NT_SW5-6-7-","","Excluded from BOM","","NetTie:NetTie-4_THT_Pad1.0mm","~"
"NT8","1","NetTie_3","","Excluded from BOM","","NetTie:NetTie-3_THT_Pad1.0mm","~"
"NT9","1","10K_RS1","","Excluded from BOM","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"NT10","1","10K_RS2","","Excluded from BOM","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"NT11","1","10K_RS3","","Excluded from BOM","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"NT12","1","10K_RS4","","Excluded from BOM","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"NT13","1","10K_RS5","","Excluded from BOM","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"NT14","1","10K_RS6","","Excluded from BOM","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"NT15","1","10K_RS7","","Excluded from BOM","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"RV1,RV2,RV3,RV4","4","R_Potentiometer_US","","","","Potentiometer_THT:Potentiometer_Alps_RK09Y11_Single_Horizontal","~"
"SW1,SW2,SW3,SW4,SW5,SW6,SW7","7","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm_H5mm","~"
"SW9","1","SW_SPST","","","","Button_Switch_THT:SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm","~"
"U1","1","~","","","","Espressif:ESP32-DEVKITV1-Paul-Half",""
